Date,Category,Payment_mode,Description,Amount,Cashback
2024-08-25,Travel,Credit Card,Black cultural front service.,788.27,0.91
2024-08-01,Travel,Cash,Others guess seek past fine.,782.72,0.0
2024-08-04,Travel,Credit Card,Floor education red whose tell why line out.,209.19,0.16
2024-08-17,Food,Credit Card,Here card use.,98.39,0.0
2024-08-23,Investment,Debit Card,Speak nothing course surface difficult family she.,523.95,0.0
2024-08-03,Stationary,Credit Card,Half less field question team for.,421.61,0.25
2024-08-25,Investment,Credit Card,Body ask carry available soldier person article.,613.64,0.53
2024-08-12,Stationary,Credit Card,Church popular require training indeed only.,374.84,0.17
2024-08-27,Travel,UPI,Table accept once vote part.,662.65,0.64
2024-08-04,Food,Debit Card,Process agree home professor meet young.,619.7,0.64
2024-08-06,Stationary,Credit Card,Week keep customer.,294.22,0.16
2024-08-08,Stationary,Debit Card,Thus family instead significant two.,913.4,0.77
2024-08-16,Subscription,Credit Card,Trial share run practice front ball fish.,264.68,0.37
2024-08-01,Stationary,UPI,Reason red address Republican side.,286.74,0.62
2024-08-09,Investment,UPI,Executive beat court front join.,482.25,0.0
2024-08-28,Bills,Debit Card,Clear practice risk sure.,328.01,0.87
2024-08-26,Investment,UPI,Soon grow past.,699.75,0.12
2024-08-04,Travel,Debit Card,Move race speech region energy young.,562.71,0.34
2024-08-02,Food,Cash,Six record let issue ability leg.,496.7,0.91
2024-08-03,Food,Credit Card,Man both image fill whose oil.,92.69,0.62
2024-08-09,Food,Debit Card,Sister story focus tax morning bed.,106.8,0.2
2024-08-16,Food,UPI,Read bring dark play.,387.67,0.83
2024-08-20,Food,Debit Card,Also role crime also prove everything trouble.,905.83,0.25
2024-08-28,Investment,Cash,Nation us black memory turn.,358.27,0.01
2024-08-23,Healthcare,Debit Card,Popular organization number talk service hair sit.,831.17,0.36
2024-08-27,Food,Debit Card,Official reality step event.,146.05,0.74
2024-08-29,Stationary,Debit Card,Middle attorney information five.,150.04,0.53
2024-08-16,Bills,Debit Card,Drive since blood rock both garden man.,217.1,0.79
2024-08-04,Food,Debit Card,Manager increase whatever fish dream daughter.,959.85,0.0
2024-08-27,Subscription,Cash,Career recognize leave go hour reality.,178.31,0.58
2024-08-08,Subscription,Cash,Seven edge wish police kitchen owner bill.,694.43,0.19
2024-08-07,Stationary,Debit Card,Maintain light physical individual low.,680.31,0.34
2024-08-17,Food,Cash,Rule meet about.,681.91,0.0
2024-08-08,Food,Credit Card,Industry nature picture law customer ball again seat.,304.11,0.0
2024-08-17,Entertainment,Cash,General resource draw once data.,350.25,0.17
2024-08-13,Healthcare,Credit Card,Cause win generation nearly center let build.,76.65,0.0
2024-08-05,Healthcare,Credit Card,Exist later section ready.,672.27,0.53
2024-08-17,Travel,Cash,Anything present again develop fly something school.,527.37,0.48
2024-08-09,Groceries,Cash,Between ahead anything deal.,260.48,0.78
2024-08-27,Healthcare,Cash,Establish main figure positive image evidence.,629.82,0.0
2024-08-26,Investment,UPI,Theory for method state would area may.,794.8,0.23
2024-08-24,Food,Cash,Eight popular six protect analysis.,149.88,0.96
2024-08-28,Subscription,UPI,Believe hold better suffer.,186.06,0.16
2024-08-06,Travel,Debit Card,Skin movement debate bar call.,530.05,0.2
2024-08-23,Subscription,Debit Card,Meeting continue small stand without she moment.,740.94,0.59
2024-08-29,Groceries,Credit Card,Fast language race idea war project strong.,444.89,0.0
2024-08-08,Stationary,Credit Card,Kitchen message by low already.,602.26,0.36
2024-08-09,Subscription,Debit Card,For player medical but enough current than car.,326.21,0.64
2024-08-04,Healthcare,Credit Card,Understand position current peace score direction last over.,737.73,0.73
2024-08-15,Stationary,Credit Card,Throughout offer indicate week oil resource if.,481.14,0.65
2024-08-19,Travel,UPI,Tax tough fear individual.,298.06,0.92
2024-08-21,Food,Debit Card,Western line author instead together.,913.04,0.76
2024-08-23,Healthcare,UPI,Expert certainly continue add red.,218.71,0.71
2024-08-10,Healthcare,UPI,Against fund interest outside.,207.94,0.4
2024-08-10,Healthcare,Debit Card,Sister all reduce difficult keep.,850.19,0.75
2024-08-27,Entertainment,Cash,Enjoy painting financial save support.,213.62,0.94
2024-08-10,Healthcare,UPI,They television argue pressure forward.,967.49,0.94
2024-08-23,Healthcare,UPI,Professor run one detail strong benefit.,687.66,0.0
2024-08-18,Bills,Credit Card,Visit box degree number machine ok wife participant.,809.98,0.0
2024-08-01,Healthcare,Cash,Join executive human chair.,273.5,0.0
2024-08-24,Bills,Credit Card,Democrat approach with blue security share.,403.25,0.07
2024-08-17,Food,Credit Card,As thus full anything north responsibility buy.,364.57,0.49
2024-08-15,Bills,Credit Card,Impact mind human never manager.,487.6,0.18
2024-08-23,Entertainment,Cash,Box enough glass citizen.,478.93,0.48
2024-08-11,Groceries,Credit Card,Any purpose suddenly to play.,446.07,0.62
2024-08-22,Groceries,Credit Card,Six able ten million on however environmental.,655.41,0.85
2024-08-22,Food,UPI,Election property spring into can.,202.26,0.23
2024-08-03,Groceries,Cash,Cold since father fill community election political quality.,721.47,0.28
2024-08-23,Entertainment,UPI,Ability successful wonder significant.,159.34,0.86
2024-08-15,Investment,UPI,That game trade institution such hair last.,226.13,0.2
2024-08-14,Food,Cash,Former three road again not notice.,883.25,0.34
2024-08-12,Travel,Cash,Before marriage page woman social ten human.,60.18,0.67
2024-08-18,Food,Cash,Side hotel southern raise nice themselves.,107.87,0.13
2024-08-06,Travel,UPI,Go treat boy.,361.08,0.57
2024-08-04,Entertainment,Debit Card,Move mean fire lead energy always beat.,653.38,0.7
2024-08-13,Healthcare,Credit Card,Analysis gas campaign.,205.39,0.31
2024-08-06,Subscription,Debit Card,Surface manage customer.,536.55,0.57
2024-08-28,Bills,Credit Card,Laugh somebody manager window task money.,608.82,0.66
2024-08-18,Subscription,UPI,Director sense including western development reveal.,847.38,0.47
2024-08-17,Subscription,Debit Card,Forget by culture major family air recognize sister.,915.55,0.67
2024-08-04,Travel,Cash,Top necessary and offer wait look world.,786.28,0.0
2024-08-09,Investment,Debit Card,Work green response avoid threat institution past.,334.83,0.0
2024-08-22,Food,Debit Card,Girl be process religious while.,354.19,0.0
2024-08-04,Bills,Debit Card,Among billion fill suddenly.,978.55,0.0
2024-08-01,Groceries,UPI,Cover word hold position require level trip.,52.48,0.58
2024-08-04,Groceries,Debit Card,Break once doctor human discover customer.,587.59,0.31
2024-08-09,Investment,Credit Card,Risk explain name specific buy region national today.,44.34,0.7
2024-08-23,Healthcare,UPI,Heavy enough organization cover family.,574.61,0.4
2024-08-02,Travel,Credit Card,Soldier technology final real bar Republican today.,737.23,0.0
2024-08-14,Entertainment,Debit Card,Surface leg card.,156.64,0.62
2024-08-30,Healthcare,Debit Card,Now threat perhaps bit box note yes.,914.86,0.11
2024-08-05,Food,Credit Card,Think party herself he society experience.,610.54,0.0
2024-08-30,Healthcare,UPI,Chance story make.,497.79,0.83
2024-08-18,Subscription,UPI,Miss sense body method commercial physical.,611.59,0.37
2024-08-11,Entertainment,Credit Card,Alone trip shoulder stage career account.,489.73,0.49
2024-08-02,Travel,Credit Card,White far discover under easy some board stock.,913.27,0.66
2024-08-30,Stationary,UPI,Institution road act reach.,976.81,0.53
2024-08-24,Travel,Credit Card,Speech room sing everybody family popular station use.,59.67,0.0
2024-08-15,Investment,UPI,Seat forget whether.,968.27,0.0
2024-08-30,Entertainment,Cash,Tv industry recognize remain traditional world.,126.5,0.3
2024-08-22,Healthcare,Credit Card,Difficult ask put that.,718.37,0.52
2024-08-15,Entertainment,Credit Card,Natural investment line ahead month both.,50.03,0.4
2024-08-14,Investment,Cash,Bit course professional travel.,447.89,0.33
2024-08-23,Stationary,Credit Card,Worker often feeling number.,120.9,0.34
2024-08-01,Investment,Cash,Medical say glass.,262.59,0.77
2024-08-04,Groceries,Credit Card,Election successful perform education test their likely letter.,538.38,0.4
