Date,Category,Payment_mode,Description,Amount,Cashback
2024-04-05,Stationary,UPI,Agent magazine surface upon culture not daughter.,781.5,0.79
2024-04-19,Food,UPI,Hundred receive pressure oil.,361.84,0.58
2024-04-21,Travel,Cash,Camera size perform serious outside wish every prepare.,519.34,0.57
2024-04-24,Bills,Cash,Language my watch factor stage early market.,358.11,0.0
2024-04-06,Entertainment,UPI,Week later maintain far foreign include experience.,274.77,0.86
2024-04-07,Subscription,Cash,But right task energy.,399.12,0.0
2024-04-24,Groceries,UPI,Doctor final product they last.,171.52,0.0
2024-04-20,Subscription,Debit Card,Manager court account shake care.,23.24,0.46
2024-04-15,Healthcare,Debit Card,Hour receive eye loss most owner nor.,736.0,0.92
2024-04-27,Groceries,Debit Card,Available rock one.,743.62,0.42
2024-04-11,Food,Debit Card,Everyone face social many toward.,651.01,0.0
2024-04-10,Groceries,Credit Card,Perhaps door effort fast.,528.79,0.43
2024-04-27,Subscription,UPI,Defense task long fact wife.,436.76,0.43
2024-04-05,Entertainment,Debit Card,Financial trip plan what.,715.05,0.63
2024-04-19,Food,Debit Card,Scientist degree almost next.,878.97,0.37
2024-04-17,Travel,UPI,Weight our ask strategy son nature.,430.09,0.31
2024-04-26,Stationary,UPI,Building serious as read whether school.,30.9,0.96
2024-04-07,Travel,UPI,Ready large hour pass option turn law pay.,929.59,0.12
2024-04-26,Healthcare,Cash,Forward budget yard become.,700.36,0.68
2024-04-23,Entertainment,UPI,Billion create son property federal wife art.,496.99,0.32
2024-04-15,Bills,Debit Card,Lay arrive knowledge speech book.,225.38,0.41
2024-04-03,Groceries,UPI,Example manager region statement begin operation.,121.47,0.0
2024-04-07,Groceries,Debit Card,Relate start member training.,228.28,0.17
2024-04-29,Investment,Cash,Adult step bar key out floor.,615.27,0.0
2024-04-03,Stationary,Credit Card,Decision send fish goal.,651.21,0.91
2024-04-03,Travel,Credit Card,Reason which film power address while would follow.,796.08,0.0
2024-04-08,Healthcare,Credit Card,New four family feel positive.,835.93,0.0
2024-04-13,Subscription,UPI,Wind two service by country.,443.9,0.78
2024-04-01,Bills,Credit Card,Condition family way short believe.,114.64,0.81
2024-04-12,Stationary,Cash,Site successful story resource record air.,846.27,0.22
2024-04-22,Entertainment,Credit Card,Small half wrong different very artist human.,668.37,0.0
2024-04-18,Food,Credit Card,Nearly sea sell tonight child paper trial.,252.63,0.79
2024-04-16,Entertainment,Debit Card,Join experience send peace.,454.28,0.1
2024-04-25,Healthcare,UPI,Bed according campaign.,578.66,0.99
2024-04-06,Bills,Cash,Station in interview.,37.78,0.79
2024-04-22,Food,Cash,Point age later entire.,804.35,0.49
2024-04-02,Travel,Cash,Thank our drug help lose method they.,51.92,0.7
2024-04-04,Groceries,UPI,Risk new hear agree daughter.,50.29,0.0
2024-04-10,Investment,UPI,Huge large speak explain.,956.04,0.13
2024-04-22,Food,Credit Card,Music idea success picture board.,380.69,0.07
2024-04-04,Stationary,Cash,Contain wrong central way individual receive ball.,973.83,0.74
2024-04-25,Entertainment,Debit Card,Hard thousand use occur poor maintain near.,340.36,0.09
2024-04-29,Entertainment,Cash,Get head animal less.,268.4,0.06
2024-04-12,Entertainment,Cash,Heavy political who property risk.,482.6,0.15
2024-04-04,Travel,Debit Card,Home should southern few town already sure.,645.05,0.33
2024-04-14,Healthcare,Credit Card,Similar wonder religious world ground marriage hospital.,942.65,0.92
2024-04-26,Groceries,UPI,Cup building minute nearly health off help.,934.12,0.41
2024-04-10,Subscription,Cash,Record cup employee break rather data process.,665.87,0.39
2024-04-22,Stationary,Credit Card,Billion instead poor strategy experience by action.,738.8,0.0
2024-04-15,Stationary,Credit Card,Agreement action resource natural.,508.65,0.96
2024-04-02,Subscription,Cash,Charge someone more window.,955.71,0.0
2024-04-09,Stationary,Cash,Time quality write my happy single.,778.73,0.0
2024-04-19,Bills,UPI,Production the I bad hot.,156.22,0.7
2024-04-29,Healthcare,Debit Card,Eight side car think land suddenly probably.,940.12,0.09
2024-04-23,Subscription,UPI,System stand attack consumer determine miss.,182.6,0.87
2024-04-13,Healthcare,Cash,Material player everybody building.,234.36,0.0
2024-04-16,Groceries,Cash,Site order movement wish industry idea do.,203.65,0.81
2024-04-25,Food,Debit Card,Pattern play top his choose service.,371.69,0.5
2024-04-12,Bills,UPI,Treat worker local.,946.14,0.2
2024-04-18,Subscription,Credit Card,Skill such result sort owner type home grow.,796.44,0.49
2024-04-27,Healthcare,Debit Card,Audience real opportunity.,801.82,0.1
2024-04-20,Food,Cash,Protect level need seem last.,128.28,0.53
2024-04-29,Subscription,Cash,Big pattern among scene front player.,863.18,0.92
2024-04-18,Groceries,Debit Card,Which section behavior care generation late skin guess.,69.5,0.23
2024-04-05,Bills,Cash,Local want she light view low first doctor.,716.38,0.76
2024-04-25,Investment,UPI,Your rock determine generation lay every most.,875.75,0.28
2024-04-08,Entertainment,Debit Card,Pay matter head blue.,151.75,0.15
2024-04-22,Healthcare,Credit Card,Strong forget before scientist national recently.,275.94,0.15
2024-04-04,Investment,UPI,Speech fact improve friend always base.,83.54,0.82
2024-04-09,Travel,Cash,Operation size beat knowledge relate them.,394.91,0.13
2024-04-12,Bills,Credit Card,Turn research so rich.,241.61,0.0
2024-04-13,Travel,Debit Card,Detail image us Republican minute.,396.49,0.27
2024-04-21,Travel,Credit Card,Argue box thank nature.,747.96,0.06
2024-04-07,Stationary,Cash,Determine walk where over sound.,56.56,0.68
2024-04-23,Healthcare,Cash,Whole theory town art tax simply.,551.15,0.0
2024-04-22,Travel,UPI,Walk view church claim key.,54.16,0.0
2024-04-09,Food,Credit Card,Treat method plant job institution than.,148.61,0.0
2024-04-21,Bills,Credit Card,Authority glass conference anyone.,187.29,0.99
2024-04-17,Investment,UPI,Floor resource early price deal option.,341.5,0.87
2024-04-07,Healthcare,Cash,Eight city drive other pull cause want radio.,194.21,0.19
2024-04-04,Bills,Credit Card,But tough case major window.,787.19,0.54
2024-04-20,Healthcare,UPI,Continue bit let sea.,758.04,0.0
2024-04-01,Investment,UPI,Wrong position already describe particular product network meeting.,283.51,0.02
2024-04-08,Entertainment,Cash,Along agency hold record senior according finally.,175.63,0.23
2024-04-13,Entertainment,Cash,Generation choose hospital apply customer out likely.,711.17,0.32
2024-04-03,Subscription,Credit Card,Fill large body sister.,747.51,0.83
2024-04-15,Bills,Debit Card,Level threat strategy professor someone.,771.75,0.06
2024-04-12,Investment,Cash,Tell else agree.,132.21,0.86
2024-04-28,Stationary,Debit Card,Sometimes floor bar professional organization offer.,841.08,0.22
2024-04-06,Food,Credit Card,Half both population similar.,973.43,0.58
2024-04-16,Stationary,Cash,Democratic visit ball Republican together save reality quickly.,209.61,0.25
2024-08-21,Stationary,Debit Card,Worry board serve above media.,118.85,0.63
2024-08-28,Groceries,Debit Card,Nice full floor feeling.,224.39,0.0
2024-08-07,Food,Credit Card,Raise pressure direction.,25.97,0.34
2024-08-29,Bills,Cash,Article shoulder put entire.,729.01,0.42
2024-08-08,Entertainment,UPI,Put check threat training customer change.,99.11,0.75
2024-08-02,Bills,Credit Card,Science charge born thing Mr letter responsibility occur.,854.37,0.78
2024-08-27,Stationary,Debit Card,Office suddenly red themselves.,686.8,0.0
2024-08-24,Stationary,Cash,Break beautiful worker company plan.,975.51,0.09
2024-08-05,Investment,Debit Card,Art glass likely trouble six natural.,516.59,0.73
2024-08-09,Entertainment,Cash,Instead on resource wife.,610.13,0.35
2024-08-23,Investment,Credit Card,Smile war treat third affect hundred.,550.94,0.6
2024-08-01,Healthcare,UPI,Rise question action very guess himself.,139.87,0.0
2024-08-15,Bills,Debit Card,Military say listen seven name market us.,239.19,0.0
2024-08-30,Stationary,Debit Card,Talk various show ability someone power me.,975.61,0.0
2024-08-15,Groceries,UPI,Go law address support including by form.,15.78,0.29
2024-08-04,Stationary,Cash,Spend right center beyond.,661.79,0.0
2024-08-09,Healthcare,Cash,Down everyone general never.,50.31,0.0
2024-08-17,Bills,Cash,Might to difference trade.,478.01,0.0
2024-08-05,Bills,Credit Card,Early such performance we every risk believe former.,843.72,0.02
2024-08-09,Stationary,Debit Card,Friend fall weight ground pass common.,971.4,0.0
2024-08-24,Food,Cash,Bar risk senior argue quality hear night.,635.11,0.55
2024-08-16,Entertainment,UPI,Camera walk call seat scientist.,607.68,0.0
2024-08-08,Food,UPI,We beat shoulder film security style.,293.92,0.68
2024-08-21,Entertainment,UPI,Leave wall part above.,841.82,0.0
2024-08-21,Entertainment,Debit Card,Listen structure game low others much.,247.96,0.12
2024-08-08,Food,UPI,Born stay individual wish artist pass ever.,521.39,0.43
2024-08-11,Entertainment,Cash,Consider nothing certain choice hundred stuff letter.,912.28,0.19
2024-08-03,Subscription,Credit Card,Test father guy care.,895.92,0.17
2024-08-20,Bills,Cash,Plan past various husband evening event.,24.85,0.07
2024-08-23,Healthcare,Credit Card,Two lay believe start whom.,114.84,0.53
2024-08-06,Entertainment,Cash,Resource forget peace fear.,590.85,0.92
2024-08-18,Bills,UPI,Black be buy could field evidence about.,159.59,0.0
2024-08-05,Groceries,UPI,That because money expect good best war.,11.96,0.0
2024-08-23,Entertainment,Credit Card,Upon management strategy compare.,866.06,0.64
2024-08-10,Healthcare,Cash,Sometimes will although company claim.,24.06,0.97
2024-08-07,Stationary,Credit Card,Short with soon program choice try.,432.81,0.09
2024-08-26,Healthcare,UPI,Parent memory drug source program.,227.73,0.87
2024-08-05,Food,Debit Card,Foot low office go dark evening.,922.09,0.36
2024-08-18,Groceries,Credit Card,Total face model likely.,428.0,0.63
2024-08-24,Healthcare,UPI,Picture realize particular suggest early tree choice.,57.27,0.22
2024-08-24,Bills,Cash,Force where never fish month child.,895.45,0.0
2024-08-05,Groceries,UPI,Drive director wear else think.,611.8,0.99
2024-08-29,Bills,Cash,Operation law require north even picture space.,43.49,0.81
2024-08-19,Subscription,Credit Card,View price audience develop society white seek add.,496.54,0.58
2024-08-25,Travel,Credit Card,Black cultural front service.,788.27,0.91
2024-08-01,Travel,Cash,Others guess seek past fine.,782.72,0.0
2024-08-04,Travel,Credit Card,Floor education red whose tell why line out.,209.19,0.16
2024-08-17,Food,Credit Card,Here card use.,98.39,0.0
2024-08-23,Investment,Debit Card,Speak nothing course surface difficult family she.,523.95,0.0
2024-08-03,Stationary,Credit Card,Half less field question team for.,421.61,0.25
2024-08-25,Investment,Credit Card,Body ask carry available soldier person article.,613.64,0.53
2024-08-12,Stationary,Credit Card,Church popular require training indeed only.,374.84,0.17
2024-08-27,Travel,UPI,Table accept once vote part.,662.65,0.64
2024-08-04,Food,Debit Card,Process agree home professor meet young.,619.7,0.64
2024-08-06,Stationary,Credit Card,Week keep customer.,294.22,0.16
2024-08-08,Stationary,Debit Card,Thus family instead significant two.,913.4,0.77
2024-08-16,Subscription,Credit Card,Trial share run practice front ball fish.,264.68,0.37
2024-08-01,Stationary,UPI,Reason red address Republican side.,286.74,0.62
2024-08-09,Investment,UPI,Executive beat court front join.,482.25,0.0
2024-08-28,Bills,Debit Card,Clear practice risk sure.,328.01,0.87
2024-08-26,Investment,UPI,Soon grow past.,699.75,0.12
2024-08-04,Travel,Debit Card,Move race speech region energy young.,562.71,0.34
2024-08-02,Food,Cash,Six record let issue ability leg.,496.7,0.91
2024-08-03,Food,Credit Card,Man both image fill whose oil.,92.69,0.62
2024-08-09,Food,Debit Card,Sister story focus tax morning bed.,106.8,0.2
2024-08-16,Food,UPI,Read bring dark play.,387.67,0.83
2024-08-20,Food,Debit Card,Also role crime also prove everything trouble.,905.83,0.25
2024-08-28,Investment,Cash,Nation us black memory turn.,358.27,0.01
2024-08-23,Healthcare,Debit Card,Popular organization number talk service hair sit.,831.17,0.36
2024-08-27,Food,Debit Card,Official reality step event.,146.05,0.74
2024-08-29,Stationary,Debit Card,Middle attorney information five.,150.04,0.53
2024-08-16,Bills,Debit Card,Drive since blood rock both garden man.,217.1,0.79
2024-08-04,Food,Debit Card,Manager increase whatever fish dream daughter.,959.85,0.0
2024-08-27,Subscription,Cash,Career recognize leave go hour reality.,178.31,0.58
2024-08-08,Subscription,Cash,Seven edge wish police kitchen owner bill.,694.43,0.19
2024-08-07,Stationary,Debit Card,Maintain light physical individual low.,680.31,0.34
2024-08-17,Food,Cash,Rule meet about.,681.91,0.0
2024-08-08,Food,Credit Card,Industry nature picture law customer ball again seat.,304.11,0.0
2024-08-17,Entertainment,Cash,General resource draw once data.,350.25,0.17
2024-08-13,Healthcare,Credit Card,Cause win generation nearly center let build.,76.65,0.0
2024-08-05,Healthcare,Credit Card,Exist later section ready.,672.27,0.53
2024-08-17,Travel,Cash,Anything present again develop fly something school.,527.37,0.48
2024-08-09,Groceries,Cash,Between ahead anything deal.,260.48,0.78
2024-08-27,Healthcare,Cash,Establish main figure positive image evidence.,629.82,0.0
2024-08-26,Investment,UPI,Theory for method state would area may.,794.8,0.23
2024-08-24,Food,Cash,Eight popular six protect analysis.,149.88,0.96
2024-08-28,Subscription,UPI,Believe hold better suffer.,186.06,0.16
2024-08-06,Travel,Debit Card,Skin movement debate bar call.,530.05,0.2
2024-08-23,Subscription,Debit Card,Meeting continue small stand without she moment.,740.94,0.59
2024-08-29,Groceries,Credit Card,Fast language race idea war project strong.,444.89,0.0
2024-08-08,Stationary,Credit Card,Kitchen message by low already.,602.26,0.36
2024-08-09,Subscription,Debit Card,For player medical but enough current than car.,326.21,0.64
2024-08-04,Healthcare,Credit Card,Understand position current peace score direction last over.,737.73,0.73
2024-08-15,Stationary,Credit Card,Throughout offer indicate week oil resource if.,481.14,0.65
2024-08-19,Travel,UPI,Tax tough fear individual.,298.06,0.92
2024-08-21,Food,Debit Card,Western line author instead together.,913.04,0.76
2024-08-23,Healthcare,UPI,Expert certainly continue add red.,218.71,0.71
2024-08-10,Healthcare,UPI,Against fund interest outside.,207.94,0.4
2024-08-10,Healthcare,Debit Card,Sister all reduce difficult keep.,850.19,0.75
2024-08-27,Entertainment,Cash,Enjoy painting financial save support.,213.62,0.94
2024-08-10,Healthcare,UPI,They television argue pressure forward.,967.49,0.94
2024-08-23,Healthcare,UPI,Professor run one detail strong benefit.,687.66,0.0
2024-08-18,Bills,Credit Card,Visit box degree number machine ok wife participant.,809.98,0.0
2024-08-01,Healthcare,Cash,Join executive human chair.,273.5,0.0
2024-08-24,Bills,Credit Card,Democrat approach with blue security share.,403.25,0.07
2024-08-17,Food,Credit Card,As thus full anything north responsibility buy.,364.57,0.49
2024-08-15,Bills,Credit Card,Impact mind human never manager.,487.6,0.18
2024-08-23,Entertainment,Cash,Box enough glass citizen.,478.93,0.48
2024-08-11,Groceries,Credit Card,Any purpose suddenly to play.,446.07,0.62
2024-08-22,Groceries,Credit Card,Six able ten million on however environmental.,655.41,0.85
2024-08-22,Food,UPI,Election property spring into can.,202.26,0.23
2024-08-03,Groceries,Cash,Cold since father fill community election political quality.,721.47,0.28
2024-08-23,Entertainment,UPI,Ability successful wonder significant.,159.34,0.86
2024-08-15,Investment,UPI,That game trade institution such hair last.,226.13,0.2
2024-08-14,Food,Cash,Former three road again not notice.,883.25,0.34
2024-08-12,Travel,Cash,Before marriage page woman social ten human.,60.18,0.67
2024-08-18,Food,Cash,Side hotel southern raise nice themselves.,107.87,0.13
2024-08-06,Travel,UPI,Go treat boy.,361.08,0.57
2024-08-04,Entertainment,Debit Card,Move mean fire lead energy always beat.,653.38,0.7
2024-08-13,Healthcare,Credit Card,Analysis gas campaign.,205.39,0.31
2024-08-06,Subscription,Debit Card,Surface manage customer.,536.55,0.57
2024-08-28,Bills,Credit Card,Laugh somebody manager window task money.,608.82,0.66
2024-08-18,Subscription,UPI,Director sense including western development reveal.,847.38,0.47
2024-08-17,Subscription,Debit Card,Forget by culture major family air recognize sister.,915.55,0.67
2024-08-04,Travel,Cash,Top necessary and offer wait look world.,786.28,0.0
2024-08-09,Investment,Debit Card,Work green response avoid threat institution past.,334.83,0.0
2024-08-22,Food,Debit Card,Girl be process religious while.,354.19,0.0
2024-08-04,Bills,Debit Card,Among billion fill suddenly.,978.55,0.0
2024-08-01,Groceries,UPI,Cover word hold position require level trip.,52.48,0.58
2024-08-04,Groceries,Debit Card,Break once doctor human discover customer.,587.59,0.31
2024-08-09,Investment,Credit Card,Risk explain name specific buy region national today.,44.34,0.7
2024-08-23,Healthcare,UPI,Heavy enough organization cover family.,574.61,0.4
2024-08-02,Travel,Credit Card,Soldier technology final real bar Republican today.,737.23,0.0
2024-08-14,Entertainment,Debit Card,Surface leg card.,156.64,0.62
2024-08-30,Healthcare,Debit Card,Now threat perhaps bit box note yes.,914.86,0.11
2024-08-05,Food,Credit Card,Think party herself he society experience.,610.54,0.0
2024-08-30,Healthcare,UPI,Chance story make.,497.79,0.83
2024-08-18,Subscription,UPI,Miss sense body method commercial physical.,611.59,0.37
2024-08-11,Entertainment,Credit Card,Alone trip shoulder stage career account.,489.73,0.49
2024-08-02,Travel,Credit Card,White far discover under easy some board stock.,913.27,0.66
2024-08-30,Stationary,UPI,Institution road act reach.,976.81,0.53
2024-08-24,Travel,Credit Card,Speech room sing everybody family popular station use.,59.67,0.0
2024-08-15,Investment,UPI,Seat forget whether.,968.27,0.0
2024-08-30,Entertainment,Cash,Tv industry recognize remain traditional world.,126.5,0.3
2024-08-22,Healthcare,Credit Card,Difficult ask put that.,718.37,0.52
2024-08-15,Entertainment,Credit Card,Natural investment line ahead month both.,50.03,0.4
2024-08-14,Investment,Cash,Bit course professional travel.,447.89,0.33
2024-08-23,Stationary,Credit Card,Worker often feeling number.,120.9,0.34
2024-08-01,Investment,Cash,Medical say glass.,262.59,0.77
2024-08-04,Groceries,Credit Card,Election successful perform education test their likely letter.,538.38,0.4
2024-12-05,Healthcare,Cash,Leg say international close simply.,542.8,0.51
2024-12-22,Investment,Credit Card,Development pattern party light long ability crime.,580.9,0.0
2024-12-13,Investment,Cash,Stock bank over light.,123.43,0.41
2024-12-11,Investment,UPI,Bill often decide be hour.,887.99,0.65
2024-12-15,Healthcare,Cash,Center enjoy far not night.,689.14,0.73
2024-12-02,Entertainment,Credit Card,Writer around writer word impact eye about.,680.11,0.0
2024-12-24,Groceries,UPI,Hard officer lawyer too first people.,861.86,0.0
2024-12-04,Food,UPI,Discussion television sea include.,760.81,0.96
2024-12-15,Groceries,Cash,View point sometimes leg.,242.57,0.0
2024-12-21,Entertainment,UPI,Scientist process number local reveal beyond.,514.37,0.5
2024-12-15,Travel,Credit Card,Movement hit around carry detail share Mrs.,843.3,0.29
2024-12-21,Entertainment,Debit Card,Civil if cause blood meeting whose here.,402.65,0.0
2024-12-14,Healthcare,Debit Card,Enter campaign she right.,593.67,0.66
2024-12-03,Travel,Debit Card,Myself why safe owner operation.,22.95,0.92
2024-12-24,Subscription,Cash,Clear between way modern purpose lawyer.,482.61,0.53
2024-12-08,Healthcare,Debit Card,Sport little science if bad such.,681.04,0.27
2024-12-04,Bills,Credit Card,Center animal whether where protect product whose.,830.97,0.09
2024-12-21,Travel,Cash,Rest well herself do understand significant nature painting.,258.35,0.29
2024-12-03,Groceries,Debit Card,Far movie design cause wall matter media final.,139.61,0.0
2024-12-10,Travel,Cash,Us trip consider example.,702.22,0.91
2024-12-26,Food,UPI,Yes take best back.,872.58,0.59
2024-12-30,Investment,Cash,Drug hair future yeah senior gun Mrs.,929.16,0.83
2024-12-17,Bills,UPI,Three strategy mother other natural test fly.,260.29,0.23
2024-12-16,Healthcare,UPI,Hope vote protect machine group crime field.,790.13,0.0
2024-12-23,Food,Credit Card,Movement wife important simple option risk despite night.,956.56,0.0
2024-12-27,Travel,Cash,High energy authority beat generation unit popular.,199.92,0.08
2024-12-05,Entertainment,Cash,City street wrong could trip foreign hotel.,940.4,0.98
2024-12-08,Bills,Cash,Decade star market everybody between.,609.77,0.0
2024-12-24,Travel,Debit Card,Assume particularly according key suffer number military.,289.38,0.93
2024-12-20,Subscription,Cash,Foot stage democratic yard control.,820.02,0.0
2024-12-22,Groceries,Cash,Fly remember health foreign.,524.5,0.76
2024-12-11,Groceries,UPI,Machine choose about.,658.79,0.82
2024-12-28,Travel,Credit Card,Late media dream wish bed.,447.93,0.27
2024-12-30,Groceries,UPI,Star attention almost approach reach own prevent seven.,738.21,0.27
2024-12-27,Stationary,Debit Card,Somebody morning child start stock finally other program.,347.5,0.0
2024-12-17,Subscription,Debit Card,Power impact woman decision box view personal tax.,134.26,0.72
2024-12-08,Healthcare,UPI,Get bill authority skill fall.,964.99,0.69
2024-12-21,Food,Credit Card,Bank under both attack blood.,893.88,0.29
2024-12-15,Subscription,Cash,Enjoy door general professor.,846.74,0.0
2024-12-04,Entertainment,UPI,Of mean including fact significant follow.,503.06,0.0
2024-12-12,Healthcare,Cash,Shoulder support including market specific.,510.98,0.0
2024-12-06,Entertainment,Cash,Center world ever which other.,915.48,0.0
2024-12-03,Food,Debit Card,Body program these opportunity way eat.,252.95,0.0
2024-12-23,Stationary,Cash,Ready enjoy let.,117.53,0.89
2024-12-23,Travel,Credit Card,Himself center image pick.,588.43,0.0
2024-12-16,Investment,Credit Card,Marriage style benefit suggest will.,370.76,0.74
2024-12-27,Entertainment,Cash,Brother real purpose.,158.9,0.03
2024-12-21,Subscription,Credit Card,Pretty public media could senior join lawyer.,928.57,0.99
2024-12-10,Bills,Debit Card,Personal successful Mr call picture one.,559.44,0.81
2024-12-23,Investment,Cash,Green foreign cultural answer crime maintain.,35.65,0.0
2024-12-01,Groceries,Cash,Data have draw between community community.,593.29,0.22
2024-12-02,Investment,Cash,Mr something return meet determine ever teacher themselves.,219.41,0.01
2024-12-10,Food,Credit Card,Blue member enough billion space.,207.47,0.0
2024-12-24,Bills,Credit Card,History attention threat race human.,359.79,0.0
2024-12-01,Bills,UPI,Popular chance world believe manager type.,986.33,0.0
2024-12-23,Bills,Credit Card,Group minute hair production third clear we.,13.56,0.12
2024-12-14,Bills,Debit Card,Year everyone last style social.,921.6,0.86
2024-12-04,Subscription,Cash,Behavior assume smile guy.,134.27,0.0
2024-12-09,Bills,Credit Card,Nature country along describe at commercial.,315.91,0.74
2024-12-16,Subscription,Credit Card,Machine marriage free when development finally environment.,668.32,0.0
2024-12-28,Groceries,Credit Card,Tv stop us usually tell.,895.25,0.85
2024-12-02,Investment,Cash,May employee finish me past.,372.45,0.84
2024-12-22,Entertainment,Debit Card,Report opportunity hard when beautiful order.,390.23,0.59
2024-12-25,Entertainment,Credit Card,Manager expect without unit significant perform beautiful huge.,195.15,0.0
2024-12-15,Entertainment,Cash,Them save notice house order arm oil clearly.,266.98,0.0
2024-12-11,Food,Debit Card,Firm write better.,936.75,0.66
2024-12-21,Investment,Debit Card,Material before gas other partner student beautiful.,513.7,0.97
2024-12-10,Investment,Cash,Side measure charge station case.,959.76,0.56
2024-12-24,Travel,Cash,Loss during ok begin law so though happy.,742.03,0.0
2024-12-15,Food,Cash,Will public authority yes stage.,827.19,0.32
2024-12-27,Healthcare,Debit Card,Father really order.,843.34,0.0
2024-12-22,Stationary,Cash,Too list his Mr.,239.11,0.0
2024-12-28,Subscription,Credit Card,Very player a reduce quality although push subject.,861.16,0.36
2024-12-22,Entertainment,UPI,Fill recent media according find drop so.,541.03,0.05
2024-12-25,Travel,Debit Card,Decade field short marriage history degree response.,583.45,0.58
2024-12-29,Investment,Debit Card,Data that place idea.,485.94,0.46
2024-12-14,Food,Credit Card,Account move so Mrs another hotel.,688.87,0.87
2024-12-16,Food,Cash,Theory suddenly bring any.,915.27,0.44
