Date,Category,Payment_mode,Description,Amount,Cashback
2024-10-09,Entertainment,Debit Card,Security way high yard toward laugh nature.,991.68,0.98
2024-10-30,Travel,UPI,Subject reflect experience official.,127.22,0.39
2024-10-12,Travel,UPI,Foot firm memory describe foreign particular thus.,739.76,0.79
2024-10-07,Entertainment,Cash,Land recently song never fill professional again.,92.82,0.55
2024-10-06,Entertainment,Debit Card,Hope movement kind history now former yeah leg.,272.87,0.75
2024-10-20,Groceries,Credit Card,Skin cover cell list within threat.,398.63,0.82
2024-10-06,Stationary,Credit Card,Exist candidate play want eye test of.,488.23,0.63
2024-10-06,Healthcare,Debit Card,Sign focus anything.,280.46,0.29
2024-10-29,Healthcare,Credit Card,Work discover bill think follow ability.,392.47,0.34
2024-10-09,Groceries,UPI,Herself my audience wish.,218.51,0.41
2024-10-12,Stationary,Credit Card,Some three court experience hard.,492.14,0.0
2024-10-10,Investment,Credit Card,Believe several organization mother door case.,428.45,0.48
2024-10-12,Healthcare,UPI,Protect somebody sign always class thank put own.,486.23,0.41
2024-10-05,Travel,Debit Card,Old bit attention yard talk.,110.89,0.09
2024-10-14,Stationary,Cash,Claim bank rock for subject laugh.,418.23,0.16
2024-10-01,Subscription,Debit Card,Job memory audience industry nor field realize.,333.22,0.62
2024-10-27,Investment,UPI,Total word place accept.,814.25,0.78
2024-10-03,Food,Debit Card,However century with note though drive send such.,928.72,0.29
2024-10-05,Entertainment,Cash,Well happen benefit who start run goal.,841.19,0.73
2024-10-19,Food,UPI,Draw can save public short.,275.45,0.25
2024-10-20,Food,Cash,Surface cell former dinner until production choose.,731.88,0.0
2024-10-29,Stationary,Cash,Billion already fine court even energy.,708.94,0.02
2024-10-07,Groceries,Debit Card,Onto there doctor hot attack themselves.,790.77,0.63
2024-10-29,Entertainment,UPI,Check want too short light out factor.,814.12,0.22
2024-10-01,Bills,UPI,Institution run government away certainly upon high.,336.06,0.18
2024-10-15,Stationary,UPI,Main oil share bill thing.,130.0,0.93
2024-10-25,Stationary,Credit Card,Information financial analysis appear real before.,427.23,0.4
2024-10-27,Entertainment,Cash,Last way establish similar pull detail high.,252.91,0.6
2024-10-03,Travel,Credit Card,Involve executive smile various great office nature.,826.92,0.03
2024-10-06,Bills,UPI,Machine want campaign member you under.,532.44,0.54
2024-10-17,Stationary,Cash,Even young such safe see bed reduce.,393.75,0.0
2024-10-19,Bills,Credit Card,Store condition western particularly along financial thus.,474.86,0.96
2024-10-29,Investment,Credit Card,Rate environment guess change road analysis doctor.,864.51,0.54
2024-10-17,Subscription,Credit Card,Deep money purpose own she we who.,947.32,0.0
2024-10-24,Subscription,Credit Card,Since finish relate knowledge boy fall artist.,654.59,0.71
2024-10-29,Stationary,UPI,Describe attention ball so.,69.46,0.28
2024-10-29,Healthcare,Credit Card,My final contain.,36.78,0.0
2024-10-09,Healthcare,UPI,Name every receive well position.,722.03,0.0
2024-10-30,Travel,Credit Card,City ago theory machine trouble business.,216.73,0.6
2024-10-29,Bills,UPI,While business here similar.,403.12,0.76
2024-10-27,Stationary,Cash,Yes in participant just manage.,530.95,0.0
2024-10-23,Healthcare,Cash,Through everything put building trip part.,595.5,0.51
2024-10-04,Stationary,UPI,Right describe specific peace radio talk.,717.77,0.47
2024-10-07,Bills,Cash,Name body federal southern sometimes.,384.92,0.5
2024-10-01,Healthcare,UPI,Sound agreement wind book.,227.33,0.0
2024-10-15,Food,UPI,Sister walk newspaper especially rule oil though.,999.39,0.42
2024-10-04,Investment,Debit Card,Edge identify international impact.,716.85,0.84
