Date,Category,Payment_mode,Description,Amount,Cashback
2024-09-20,Food,Debit Card,Traditional around manager research week.,696.63,0.02
2024-09-29,Bills,UPI,Lot writer thank third rate piece fly.,494.96,0.48
2024-09-12,Bills,Cash,Effort TV thought instead.,427.4,0.51
2024-09-28,Food,Credit Card,Nearly administration defense have oil history open.,43.38,0.13
2024-09-23,Travel,Debit Card,His ok Mrs learn college.,438.66,0.0
2024-09-17,Healthcare,UPI,His east gas bed world key last.,666.55,0.0
2024-09-18,Healthcare,Debit Card,Speech question laugh parent whom fact sport everyone.,610.84,0.79
2024-09-22,Subscription,Cash,Coach continue choose big player.,34.14,0.12
2024-09-16,Entertainment,Debit Card,Fire true administration home teach property door.,584.36,0.43
2024-09-04,Entertainment,UPI,Young different international like organization then.,179.7,0.39
2024-09-10,Healthcare,Debit Card,Admit car real too.,363.14,0.77
2024-09-02,Food,Credit Card,Book act forget lay score.,877.67,0.49
2024-09-10,Travel,Debit Card,Product according surface truth grow.,483.94,0.0
2024-09-11,Travel,Cash,Through key leader record student.,446.81,0.59
2024-09-12,Healthcare,Debit Card,History such product eat page decide ball write.,751.11,0.34
2024-09-19,Entertainment,Credit Card,City next sure middle strategy personal trip.,591.38,0.9
2024-09-11,Investment,Cash,Worry nature its wife until and full.,447.46,0.66
2024-09-04,Food,UPI,Relationship cell nothing cut from.,499.78,0.44
2024-09-08,Travel,Cash,War bag ground local.,476.52,0.35
2024-09-29,Subscription,Credit Card,Nation maybe technology of need word.,753.81,0.57
2024-09-26,Food,Credit Card,Strategy mention individual risk happen.,318.02,0.0
2024-09-26,Bills,Debit Card,May clearly born director herself.,768.26,0.59
2024-09-24,Food,UPI,Area several card dark parent just.,887.72,0.0
2024-09-03,Healthcare,Credit Card,Own use practice hair.,289.74,0.84
2024-09-27,Food,Debit Card,Wide doctor door back half.,135.31,0.57
2024-09-19,Bills,Cash,Beat just miss single every decide trip.,610.21,0.87
2024-09-29,Travel,Cash,Natural improve season role operation bed him.,225.9,0.33
2024-09-07,Healthcare,UPI,Resource eight although among.,324.74,0.06
2024-09-27,Travel,Credit Card,Fish change fire consumer blue success.,513.07,0.74
2024-09-07,Stationary,Cash,Whole available government away.,896.04,0.0
2024-09-14,Travel,UPI,Whose action billion watch manage common various.,779.48,0.0
2024-09-24,Stationary,Debit Card,Half crime beat federal energy.,291.24,0.0
2024-09-17,Travel,Credit Card,Where position minute region.,593.87,0.92
2024-09-29,Groceries,Credit Card,Remember score along great three old.,743.41,0.0
2024-09-18,Subscription,Credit Card,Talk history yeah her very lawyer.,297.86,0.95
2024-09-23,Travel,UPI,Enter analysis thousand authority can.,786.54,0.24
2024-09-25,Groceries,UPI,Day student situation strategy share common fund.,370.3,0.14
2024-09-12,Groceries,Cash,Environment yard into appear whom another.,195.59,0.65
2024-09-07,Investment,Debit Card,Purpose fall himself apply employee.,373.89,0.23
2024-09-19,Investment,Credit Card,Cultural month somebody tough issue cause.,729.27,0.0
2024-09-09,Bills,Debit Card,Animal trouble eight fire whole well.,234.81,0.8
2024-09-27,Subscription,Cash,Pull cut expect either especially heart score.,815.39,0.53
2024-09-09,Healthcare,Debit Card,Agree stuff risk participant mouth who.,995.0,0.94
2024-09-29,Travel,Credit Card,Trip guy scientist knowledge participant.,720.19,0.71
2024-09-18,Healthcare,UPI,Out art street as evening story range.,204.86,0.18
2024-09-21,Entertainment,Debit Card,Game newspaper up account than.,434.92,0.57
2024-09-02,Investment,Credit Card,Home position interesting weight single.,557.05,0.13
2024-09-29,Groceries,Debit Card,Ok inside someone east so indicate mouth.,835.59,0.9
2024-09-29,Groceries,Credit Card,Skin miss sport.,888.51,0.8
2024-09-26,Entertainment,Debit Card,Small man whatever simply create.,510.92,0.78
2024-09-01,Entertainment,Debit Card,Mouth again reveal first.,444.66,0.62
2024-09-23,Groceries,Cash,Who exactly thousand community begin wind.,51.33,0.74
2024-09-19,Stationary,Credit Card,Ago fall still century surface skin Mr.,248.71,0.0
2024-09-22,Food,UPI,Anything suffer worker pull.,628.77,0.47
2024-09-09,Investment,Debit Card,Include event goal husband federal.,991.08,0.0
2024-09-28,Travel,UPI,Like your open least.,486.44,0.0
2024-09-23,Groceries,Debit Card,Should its ground pick change hold.,257.33,0.56
2024-09-07,Healthcare,Credit Card,Above receive organization say between agent professor.,534.44,0.38
2024-09-27,Food,Debit Card,Beat dark forward bar.,363.41,0.09
2024-09-27,Healthcare,Debit Card,Campaign return where bit trial reason.,276.44,0.67
2024-09-12,Healthcare,Cash,Dark policy young war make.,115.42,0.71
2024-09-08,Stationary,Debit Card,Audience instead decision at shake partner.,872.51,0.59
2024-09-15,Travel,UPI,Something because attack better.,675.24,0.0
2024-09-19,Healthcare,UPI,Least them window six be kitchen wide man.,637.82,0.63
2024-09-26,Stationary,UPI,Despite water Mr happen use treat place.,321.12,0.55
2024-09-17,Travel,Debit Card,Ahead middle anyone detail reach heavy language finish.,850.35,0.56
2024-09-14,Investment,UPI,Family election yard career player manager side.,796.51,0.79
2024-09-06,Healthcare,Debit Card,Place nature physical shoulder.,196.05,0.27
2024-09-01,Investment,Debit Card,Us blood economy rich drop which staff.,433.5,0.0
2024-09-21,Entertainment,Cash,Factor impact month project.,747.73,0.94
2024-09-11,Investment,UPI,Matter certainly war.,310.69,0.63
2024-09-21,Travel,Debit Card,Security better lead we next.,450.41,0.42
2024-09-18,Stationary,UPI,Available town during see clearly.,43.9,0.32
